authors,title,journal,volume,issue,year,pages,link,pdfLink
"Shuanglin Chen, Weisheng Cao, Chuan Zhang, Jun Zhu, Fan Zhang, Qian Li, Jieyu Zhang",Calculation of property contour diagrams,CALPHAD,55,Part 1,2016,63-68,http://www.sciencedirect.com/science/article/pii/S0364591616300712,
"S. Chen, W. Cao, F. Zhang, Q. Li, J. Zhang, C. Zhang, and J. Zhu",Calculation of 2D and 3D Phase Diagram,JOM,67,8,2015,1876-1880,https://www.researchgate.net/publication/283020875_Calculation_of_2D_and_3D_Phase_Diagrams,
"J. Zhu, C. Zhang, W. Cao, S. Chen, F. Zhang, J. S. Park, and S. Yi",Molar Volume Modeling of Ti-Al-Nb and Ti-Al-Mo Ternary Systems,JOM,67,8,2015,1881-1885,http://link.springer.com/article/10.1007%2Fs11837-015-1493-6,
"F. Zhang, C. Zhang, S.L. Chen, J. Zhu, W.S. Cao, and U.R. Kattner",An understanding of high entropy alloys from phase diagram calculations,CALPHAD,45,8,2014,1-10,http://www.sciencedirect.com/science/article/pii/S0364591613001028,
"Shuang-Lin Chen, Ying Yang, Sinn-Wen Chen, Xiong-Gang Lu, and Y. Austin Chang",Solidification Simulation Using Scheil Model in Multicomponent Systems,J. Phase Equilib. Diffus.,30,,2009,429,http://link.springer.com/article/10.1007/s11669-009-9568-0,/assets/papers/solidification.pdf
"Shuang-Lin Chen, Jie-Yu Zhang, Xiong-Gang Lu, Kuo-Chih Chou, and Y. Austin Chang",Application of Graham Scan Algorithm in Binary Phase Diagram Calculation,Journal of Phase Equilibria and Diffusion,27,2,2006,1-5,,
"Wang, LJ, Chen, SL, Chou, KC, Chang, YA",Calculation of density in a ternary system with a limited homogenous region using a geometric model,CALPHAD,29,2,2005,149-154,,
"Cao, W, Zhu, J, Yang, Y, Zhang, F, Chen, S, Oates, WA, Chang, YA",Application of the cluster/site approximation to fcc phases in Ni-Al-Cr system,Acta Mater,53,15,2005,4189-4197,,
"Wang, Y., Ma, N, Chen, Q, Zhang, F, Chen, SL, Chang, YA","Predicting phase equilibrium, phase transformation, and microstructure evolution in titanium alloys",JOM,57,9,2005,32-39,,
"Wang, LJ, Chou, KC, Chen, SL, Chang, YA",Estimating ternary surface tension for systems with limited solubility,ZEITSCHRIFT FUR METALLKUNDE,96,8,2005,948-950,,
"Zhang, F, Xie, FY, Chen, SL, Chang, YA, Furrer, D, Venkatesh, V,",Predictions of titanium alloy properties using thermodynamic modeling tools,JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,14,6,2005,717-721,,
"Du, Y,Chang, YA, Liu, SH,Huang, BY,Xie, FY, Yang, Y, Chen, SL",Thermodynamic description of the Al-Fe-Mg-Mn-Si system and investigation of microstructure and microsegregation during directional solidification of an Al-Fe-Mg-Mn-Si alloy,ZEITSCHRIFT FUR METALLKUNDE,96,12,2005,1351-1362,,
"W. Cao, Y. A. Chang, J. Zhu, S.-L. Chen, W. A. Oates",Application of the Cluster/Site Approximation to the Calculation of Multicomponent Alloy Phase Diagrams,Acta Mater,53,,2005,331-335,,
"Y. A. Chang, X.-Y. Yan, F.-Y. Xie, S.-L. Chen",Phase formation and solidification path analysis of multicomponent aluminum alloys,Solidification of Aluminium Alloys Symposium,,,2004,3-18,,
"Y. A. Chang, S.-L. Chen, F. Zhang, X.-Y. Yan, F.-Y. Xie, R. Schmid-Fetzer and W. A. Oates","Phase Diagram Calculation: Past, Present and Future",Progress in Materials Science,49,,2004,313-345,,
S.-W. Chen and S.-L. Chen,Phase Diagram and Its Calculation with an Example of Lead-free Solder,Materials Science Bulletin (in Chinese),10,1,2003,34-42,,
"X. J. Liu, S.-L. Chen, I. Ohnuma, K. Ishida, Y. A. Chang",Design of micro-soldering materials in electronic packaging using computational thermodynamics,Mechanics and Material Engineering for Science and Experiments,,,2003,334-337,,
"S.-L. Chen, F. Zhang, S. Daniel, F.-Y. Xie, X.-Y. Yan, Y. A. Chang, R. Schmid-Fetzer and W. A. Oates",Calculating phase diagrams using PANDAT and PanEngine,JOM,55,12,2003,48-51,,
"Y. Du, Y. A. Chang, Z.-J. Jin, B.-Y. Huang, F. Zhang and S.-L. Chen",Thermodynamic Properties of the Al-Nb-Ni System,Intermetallics,11,,2003,995-1013,,
"F.-Y. Xie, X-Y Yan, L. Ding, F. Zhang, S.-L. Chen, M. G. Chu, and Y. A. Chang",A Study of Microstructure and Microsegregation on Aluminum 7050 Alloy,Mater. Sci. Engin.,A355,,2003,144-153,,
"F. Zhang, Y. A. Chang, Y. Du, S.-L. Chen and W. A. Oates",Application of the Cluster-Site Approximation (CSA) Model to the FCC Phase in the Ni-Al System,Acta Mater,51,,2003,207-216,,
"Y. A. Chang, S.-L. Chen, F. Zhang and W. A. Oates",Improving Multicomponent Phase Diagram Calculations,"CALPHAD and Alloy Thermodynamics (Eds.: P. E. A. Turch, A. Gonis and R. D. Shull) TMS, Warrendale, PA",,,2002,53-60,,
"X.-Y. Yan, S.-L. Chen, F.-Y. Xie, and Y. A. Chang",Computational and Experimental Investigation of Microsegregation in an Al-rich Al-Cu-Mg-Si Quaternary Alloy,Acta Mater.,50,,2002,2199-2207,,
"S.-L. Chen, S. Daniel, F. Zhang, Y. A. Chang, X.-Y. Yan, F.-Y. Xie, R. Schmid-Fetzer and W. A. Oates",The PANDATA Software Package and Its Applications,CALPHAD,26,2,2002,175-188,,
"F. Zhang, S.-L. Chen, Y. A. Chang and W. A. Oates",An improved approach for obtaining thermodynamic descriptions of intermetallic phases: Application to the Cr-Ta system,Intermetallics,9,,2001,1079-1083,,
"Y. A. Chang, X.-Y. Yan, S. Daniel, F.Y. Xie; S.-L. Chen and F. Zhang",PANDAT and PanEngine-their applications in multicomponent phase diagram calculation and microstructure prediction,"Materials Design Approaches and Experiences. Proceedings of Symposium, TMS",,,2001,85-96,,
"X.-Y. Yan, Y. A. Chang, Y. Yang, F.-Y. Xie, S.-L. Chen, F. Zhang, S. Daniel, M.-H. He",A Thermodynamic Approach for Predicting the Tendency of Multicomponent Metallic Alloys for Glass Formation,Intermetallics,9,6,2001,535-538,,
"S.-L. Chen, S. Daniel, F. Zhang, Y. A. Chang, W. A. Oates and R. Schmid-Fetzer",On the Calculation of Multicomponent Stable Phase Diagrams,J. Phase Equilibria,22,4,2001,373-378,,
"X.-Y. Yan, Y. A. Chang, F.-Y. Xie, S.-L. Chen, F. Zhang, and S. Daniel",Calculated Phase Diagrams of Aluminum Alloys from Binary Al-Cu to Multicomponent Commercial Alloy,J. Alloy Compounds,230,,2001,151-160,,
"X.Y. Yan, L. Ding, S.-L. Chen, F.-Y. Xie, M. Chu and Y. A. Chang",Predicting Microstructure and Microsegregation in Multicomponent Aluminum Alloys,"in Light Metals 2001, (Editor: J. L. Anjier) TMS, Warrendale, PA",,,2001,1091-1097,,
"J. Zhang, W. A. Oates, F. Zhang, S.-L. Chen, K.-C. Chou and Y, A. Chang",Cluster/Site Approximation of the Ordering Phase Diagram for Cd-Mg Alloys,Intermetallics,9,,2001,5-8,,
"W. A. Oates, F. Zhang, S.-L. Chen and Y. A. Chang",Some Problems Arising from two Sublattice Modeling of Ordered Phases,CALPHAD,23,,1999,181-188,,
"W. A. Oates, F. Zhang, S.-L. Chen and Y. A. Chang",An Improved Cluster/Site Approximation for the Entropy of Mixing in Multicomponent Solid Solutions,Phys. Rev. B,59,,1999,11221-11225,,
"T. Kraft, S.-L. Chen and Y. A. Chang",Prediction of Microsegregation in Castings using Calculated Phase diagrams,"in Proceedings of the Fifth Asian Foundry Congress, (Eds.: G. Sun, H.-Y Yuan, R.-B. Yao and X.-Y. Yan) Southeast University Press, Nanjing, P. R. China",,,1997,1,,
"Y. A. Chang, F.-Y. Shiau, S.-L. Chen and S. Mohney",Thermodynamic Considerations in the Rationalization of Solid-State Amorphization Between Metals and III_V Semiconductors,"in Thermodynamics of Alloy Formation (Eds: Y. A. Chang and F. Sommer), TMS, Warrendale, PA",,,1997,187-198,,
Y. A. Chang and S.-L. Chen,Thermodynamics of Metallic Solutions,"in Advanced Physical Chemistry in Process Metallurgy (Eds.: N. Sano, W-K Lu and P. V. Riboud), Academic Press Ltd., London, U. K.",,,1997,5-43,,
"F. Zhang, S. L. Chen, Y. A. Chang and U. R. Kattner",A Thermodynamic Description of the Ti-Al System,Intermetallics,5,,1997,471-482,,
"H. Liang, S.-L. Chen and Y. A. Chang",A Thermodynamic Description of the Al-Mg-Zn System,Metall. Mater. Trans.,28A,,1997,1725,,
"S.-L. Chen, Y. Zuo, H. Liang and Y. A. Chang",A Thermodynamic Description of Al-Mg-Cu,Metall. Mater. Trans.,28A,,1997,435-446,,
"F. Zhang, S.-L. Chen and Y. A. Chang",A Thermodynamic Description of the Ti-Al-V System,"in Proceedings of the International Conference on Modeling and simulation in Metallurgical Engineering and Materials Science, (Editors: Zongsen Yu, Zeqiang Xiao and Xishan Xie), Metallurgical Industry Press, Beijing, PRC",,,1996,191,,
"Y. A. Chang, S.-L. Chen, Y. Zuo, F. Zhang, S. L. Daniel, C.-H. Moon, H. Liang, F.-Y. Xie, W. Huang, Z.K. Liu and K.C. Chou",Phase Diagram Calculation: A Critical Tool For Alloy and Processing Design,"in Proceedings of the International Conference on Modeling and simulation in Metallurgical Engineering and Materials Science, (Editors: Zongsen Yu, Zeqiang Xiao and Xishan Xie), Metallurgical Industry Press, Beijing, PRC",,,1996,185,,
"L. M. Pike, C. R. Kao, S.-L. Chen and Y. A. Chang",On the Site Preferences of Ternary Additions to Triple Defect B2 Intermetallic Compounds,"in Design Fundamentals of High Temperature Composites, Intermetallics and Metal-Ceramic Systems (Ed: R. Y. Lin, Y. A. Chang, R. G. Reddy and C. T. Liu) The Mineral, Metals and Materials Society, Warrendale, PA",,,1996,171-185,,
